Country,2017INv,2017Emp,2018INv,2018Emp,2019Inv,2019Emp,2020Inv,2020Emp,TotalInv,TotalEmp,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,c60,c61,c62
Dominica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,751.00,NA,12.00,1.00,Roseau,135.68,103.06,0.00,XCD,NA,NA,1.90,0.58,0.00,NA,562540740.74,1.12,0.07,0.06,0.06,31.20,Roseau,"Roosevelt Skerrit (Prime Minister), Charles Savarin (President)",76.60,NA,NA,1.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71625.00,71808.00,0.00
Cayman Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,264.00,NA,10.70,1.00,George Town,542.72,102.94,NA,NA,NA,NA,NA,0.53,NA,NA,3207032512.94,NA,NA,NA,NA,NA,George Town,Alden McLaughlin (Premier),82.19,315630000.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64174.00,64948.00,0.01
Bermuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,53.20,NA,9.60,1.00,Hamilton,575.72,NA,NA,NA,NA,NA,1.61,0.20,NA,NA,5573710000.00,0.90,0.17,NA,NA,NA,St. George,"John Rankin (Governor), Kim Wilson (Minister)",81.23,2718790000.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62756.00,62506.00,?0.40%
Marshall Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64,181.43,NA,31.23,692.00,Majuro,102.68,NA,NA,USD,NA,NA,4.05,0.70,0.00,1.44,199399247.08,0.89,0.43,0.16,0.16,29.10,Majuro,David Kabua (President),65.24,NA,NA,2.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58413.00,58791.00,0.01
Greenland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,2166086.00,NA,14.80,299.00,Nuuk,506.05,NA,NA,NA,NA,NA,2.00,0.00,NA,NA,2705891616.98,NA,NA,NA,NA,NA,Nuuk,Margrethe II of Denmark (Monarch),71.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56564.00,56672.00,0.00
Northern Mariana Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,464.00,NA,NA,1.00,Saipan,NA,NA,NA,NA,NA,NA,NA,0.64,NA,NA,1242000000.00,NA,NA,NA,NA,NA,Saipan,"Donald Trump (President), Ralph Torres (Governor)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56882.00,56188.00,?1.22%
American Samoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,199.00,NA,17.50,1.00,Pago Pago,NA,NA,NA,NA,NA,NA,NA,0.88,NA,NA,658000000.00,NA,NA,NA,NA,NA,Tafuna,"Lolo Letalu Matalasi Moliga (Governor), Lemanu Peleti Mauga (Lieutenant Governor)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55465.00,55312.00,?0.28%
Saint Kitts and Nevis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23,261.00,NA,17.30,1.00,Basseterre,231.02,105.54,-0.01,XCD,NA,NA,2.11,0.42,0.00,NA,945854481.48,NA,NA,0.06,0.06,7.60,Basseterre,"Elizabeth II (Monarch), Timothy Harris (Prime Minister)",71.34,NA,NA,3.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52441.00,52823.00,0.01
Faroe Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1393.00,NA,NA,298.00,Tórshavn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2198138372.00,NA,NA,NA,NA,NA,Tórshavn,Aksel V. Johannesen (Prime Minister),82.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48497.00,48678.00,0.00
Sint Maarten,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.00,NA,NA,1.00,Philipsburg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lower Prince's Quarter,Eugene Holiday (Governor),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41940.00,42388.00,0.01
Monaco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.02,NA,7.80,377.00,Monaco,NA,NA,NA,EUR,NA,NA,NA,NA,NA,2.00,6074884388.59,NA,NA,0.04,0.04,2.80,Monaco-Ville,"Albert II, Prince of Monaco (Monarch)",NA,NA,NA,11.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38682.00,38964.00,0.01
Turks and Caicos Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,948.00,NA,NA,1.00,Cockburn Town,205.35,NA,NA,NA,NA,NA,NA,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nigel Dakin (Governor), Sharlene Cartwright-Robinson (Premier)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37665.00,38191.00,0.01
Liechtenstein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,160.00,NA,10.00,423.00,Vaduz,44.00,NA,NA,CHF,NA,NA,1.40,0.43,NA,1.74,6289165409.56,1.05,0.35,NA,NA,NA,Schaan,"Alois, Hereditary Prince of Liechtenstein (Monarch), Adrian Hasler (Prime Minister)",82.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37910.00,38019.00,0.00
San Marino,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,61.20,NA,7.90,378.00,San Marino,NA,110.63,0.01,EUR,NA,NA,1.26,0.00,NA,NA,1658778453.91,0.93,0.60,0.07,0.07,2.50,San Marino,NA,85.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33785.00,33860.00,0.00
Gibraltar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.50,NA,NA,350.00,Gibraltar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1066000000.00,NA,NA,NA,NA,NA,NA,Fabian Picardo (Chief Minister),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33718.00,33701.00,?0.05%
British Virgin Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.00,NA,NA,1.00,Road Town,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,839700000.00,NA,NA,NA,NA,NA,Road Town,Augustus Jaspert (Governor),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29802.00,30030.00,0.01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25711.00,25979.00,0.01
Palau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,459.00,NA,12.00,680.00,Ngerulmud,260.36,118.17,NA,USD,NA,NA,2.21,0.88,0.00,NA,291544300.00,1.15,0.64,0.09,0.09,13.70,Koror,"Raynold Oilouch (Vice President), Tommy Remengesau (President)",69.13,NA,NA,3.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17907.00,18008.00,0.01
Cook Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236.00,NA,NA,682.00,Avarua,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183000000.00,NA,NA,NA,NA,NA,Avarua,"Henry Puna (Prime Minister), Elizabeth II (Monarch)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17518.00,17548.00,0.00
Anguilla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.00,NA,NA,1.00,The Valley,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108900000.00,NA,NA,NA,NA,NA,North Side,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14731.00,14869.00,0.01
Tuvalu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.60,26.00,NA,NA,688.00,Funafuti,11.00,NA,NA,AUD,NA,NA,NA,0.33,NA,NA,39731317.30,1.19,NA,0.15,0.15,21.40,Singapore,"Elizabeth II (Monarch), Iakoba Italeli (Governor-general), Kausea Natano (Prime Minister)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11508.00,11646.00,0.01
Wallis and Futuna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142.00,NA,NA,681.00,Mata Utu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mata Utu,Emmanuel Macron (President),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11661.00,11432.00,?1.96%
Nauru,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.00,NA,NA,674.00,Yaren District,NA,NA,NA,AUD,NA,NA,NA,NA,NA,NA,114000000.00,NA,NA,NA,NA,NA,NA,Lionel Aingimea (President),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10670.00,10756.00,0.01
Saint Helena,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,394.00,NA,NA,NA,Jamestown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Half Tree Hollow,Lisa Honan (Governor),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6035.00,6059.00,0.00
Saint Pierre and Miquelon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,242.00,NA,NA,508.00,Saint-Pierre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saint-Pierre,Emmanuel Macron (President),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5849.00,5822.00,?0.46%
Montserrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.00,NA,NA,1.00,Plymouth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plymouth,Easton Taylor-Farrell (Premier),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4993.00,4989.00,?0.08%
Falkland Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12173.00,NA,NA,500.00,Stanley,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stanley,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3234.00,3377.00,0.04
Niue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260.00,NA,NA,683.00,Alofi,NA,NA,NA,NZD,NA,NA,NA,NA,NA,NA,10010000.00,NA,NA,NA,NA,NA,Alofi,"Patsy Reddy (Governor-general), Toke Talagi (Premier), Elizabeth II (Monarch)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1620.00,1615.00,?0.31%
Tokelau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.00,NA,NA,690.00,"Atafu,Tokelau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1319.00,1340.00,0.02
Vatican City,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,NA,NA,379.00,Vatican City,NA,NA,NA,EUR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pope Francis (Head of state),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801.00,799.00,?0.25%
