Country,2017INv,2017Emp,2018INv,2018Emp,2019Inv,2019Emp,2020Inv,2020Emp,TotalInv,TotalEmp,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,c60,c61,c62
New Zealand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42,268021.00,9000.00,12.65,64.00,Wellington,34664.15,110.65,0.01,NZD,NA,9026.32,1.87,0.39,59.37,1.40,205852838254.71,0.99,0.82,0.10,0.10,4.50,Auckland,"Jacinda Ardern (Prime Minister), Elizabeth II (Monarch), Patsy Reddy (Governor-general)",81.61,94691280000.00,11.00,11.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4743131.00,4783063.00,0.01
Central African Republic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,622984.00,8150.00,35.70,236.00,Bangui,300.69,186.86,0.37,XAF,NA,NA,4.87,0.36,NA,1.41,1949411659.20,1.06,0.03,0.04,0.04,88.50,Bangui,"Faustin-Archange Touadéra (President), Firmin Ngrébada (Prime Minister)",52.17,NA,882.00,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4666368.00,4745185.00,0.02
Mauritania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39,1030700.00,20850.00,34.16,222.00,Nouakchott,2709.91,128.06,0.01,MRU,NA,NA,4.67,0.00,NA,1.13,5024705934.34,0.94,0.05,0.06,0.06,54.40,Nouakchott,"Mohamed Ould Ghazouani (President), Ismail Ould Bedde Ould Cheikh Sidiya (Prime Minister)",63.24,NA,602.00,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4403313.00,4525696.00,0.03
Panama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.30,75420.00,22050.00,19.53,507.00,Panama City,8800.80,121.58,0.01,NA,NA,2062.76,2.51,0.62,80.71,0.74,61838175800.00,0.96,0.47,0.08,0.08,14.10,Panama City,"Cattleman Laurentino Cortizo (President), Jose Gabriel Carrizo (Vice President)",78.00,15023710000.00,94.00,1.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4176869.00,4246439.00,0.02
Kuwait,10.55,10.55,10.55,10.55,10.55,10.55,10.55,10.55,10.55,10.55,0.08,17818.00,22600.00,16.42,965.00,Kuwait City,95408.01,124.56,0.03,KWD,NA,15213.42,1.97,0.00,100.00,0.35,120126277612.93,1.01,0.33,0.03,0.03,7.20,Kuwait City,Sabah Al-Khalid Al-Sabah (Prime Minister),74.69,107063210000.00,4.00,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4137312.00,4207083.00,0.02
Croatia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,56594.00,18550.00,9.00,385.00,Zagreb,16842.53,107.31,-0.01,HRK,NA,3714.38,1.40,0.34,70.70,1.26,54849180228.87,0.95,0.67,0.07,0.07,4.00,Zagreb,"Zoran Milanovi? (President), Andrej Plenkovi? (Prime Minister)",78.02,22764800000.00,8.00,2.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4156405.00,4130304.00,?0.63%
Moldova,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,33846.00,7550.00,10.32,373.00,Chi?in?u,4932.12,153.84,0.06,MDL,"Moldova, officially the Republic of Moldova, is a landlocked country in Eastern Europe, bordered by Romania to the west and Ukraine to the north, east, and south. The capital city is Chi?in?u.",1386.23,1.24,0.12,88.69,0.80,8128493432.08,0.92,0.41,0.12,0.12,13.70,Chi?in?u,"Zinaida Greceanîi (President), Pavel Filip (President), Ion Chicu (Prime Minister)",71.61,NA,23.00,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4051944.00,4043263.00,?0.21%
Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37,69700.00,26050.00,13.50,995.00,Tbilisi,8987.82,124.18,0.02,GEL,NA,2688.49,2.00,0.41,72.21,0.76,15159281211.40,1.03,0.52,0.09,0.09,9.50,Tbilisi,"Salome Zurabishvili (President), Giorgi Gakharia (Prime Minister)",73.26,NA,36.00,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4002942.00,3996765.00,?0.15%
Eritrea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,117600.00,201750.00,32.20,291.00,Asmara,696.73,NA,NA,ERN,NA,64.14,4.13,0.15,22.27,2.00,2607739837.40,0.54,0.02,0.03,0.03,32.90,Asmara,Isaias Afwerki (President),65.09,NA,501.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3452786.00,3497117.00,0.01
Uruguay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83,176215.00,25450.00,14.03,598.00,Montevideo,6747.28,174.80,0.10,UYU,NA,3067.95,2.00,0.11,46.84,1.50,56156972157.70,1.07,0.56,0.09,0.09,7.90,Montevideo,Lucía Topolansky (Vice President),77.49,283800000.00,15.00,1.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3449285.00,3461734.00,0.00
