Country,2017INv,2017Emp,2018INv,2018Emp,2019Inv,2019Emp,2020Inv,2020Emp,TotalInv,TotalEmp,C1,C2,C3,C4,C5,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C25,C26,C27,C28,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,c60,c61,c62
New Zealand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42,268021,9000,12.65,64,34664.15,110.65,0.01,NZD,NA,9026.32,1.87,0.39,59.37,1.4,2.06E+11,0.99,0.82,0.1,0.1,4.5,81.61,94691280000,11,11.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4743131,4783063,0.01
Central African Republic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,622984,8150,35.7,236,300.69,186.86,0.37,XAF,NA,NA,4.87,0.36,NA,1.41,1949411659,1.06,0.03,0.04,0.04,88.5,52.17,NA,882,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4666368,4745185,0.02
Mauritania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39,1030700,20850,34.16,222,2709.91,128.06,0.01,MRU,NA,NA,4.67,0,NA,1.13,5024705934,0.94,0.05,0.06,0.06,54.4,63.24,NA,602,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4403313,4525696,0.03
Panama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,75420,22050,19.53,507,8800.8,121.58,0.01,NA,NA,2062.76,2.51,0.62,80.71,0.74,61838175800,0.96,0.47,0.08,0.08,14.1,78,15023710000,94,1.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4176869,4246439,0.02
Kuwait,10.55,10.55,10.55,10.55,10.55,10.55,10.55,10.55,10.55,10.55,0.08,17818,22600,16.42,965,95408.01,124.56,0.03,KWD,NA,15213.42,1.97,0,100,0.35,1.20E+11,1.01,0.33,0.03,0.03,7.2,74.69,1.07E+11,4,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4137312,4207083,0.02
Croatia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,56594,18550,9,385,16842.53,107.31,-0.01,HRK,NA,3714.38,1.4,0.34,70.7,1.26,54849180229,0.95,0.67,0.07,0.07,4,78.02,22764800000,8,2.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4156405,4130304,?0.63%
Moldova,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,33846,7550,10.32,373,4932.12,153.84,0.06,MDL,"Moldova, officially the Republic of Moldova, is a landlocked country in Eastern Europe, bordered by Romania to the west and Ukraine to the north, east, and south. The capital city is Chi?in?u.",1386.23,1.24,0.12,88.69,0.8,8128493432,0.92,0.41,0.12,0.12,13.7,71.61,NA,23,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4051944,4043263,?0.21%
Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37,69700,26050,13.5,995,8987.82,124.18,0.02,GEL,NA,2688.49,2,0.41,72.21,0.76,15159281211,1.03,0.52,0.09,0.09,9.5,73.26,NA,36,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4002942,3996765,?0.15%
Eritrea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,117600,201750,32.2,291,696.73,NA,NA,ERN,NA,64.14,4.13,0.15,22.27,2,2607739837,0.54,0.02,0.03,0.03,32.9,65.09,NA,501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3452786,3497117,0.01
Uruguay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83,176215,25450,14.03,598,6747.28,174.8,0.1,UYU,NA,3067.95,2,0.11,46.84,1.5,56156972158,1.07,0.56,0.09,0.09,7.9,77.49,283800000,15,1.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3449285,3461734,0
